
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 517b2a95-eb9e-4aaf-b15b-00e524fd0b89 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.151    0.0  16.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 3.828     1    3.828          8.783    0.0  5.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 4.769     1    4.769          13.717   1.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 6.221     1    6.221          14.867   1.0  6.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 5.678     1    5.678          13.795   0.0  0.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 6.266     1    6.266          14.552   0.0  0.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 4.842     1    4.842          14.358   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 4.731     1    4.731          13.741   0.0  7.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 6.248     1    6.248          13.809   1.0  14.0        -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 5.504     1    5.504          13.9     1.0  15.0        -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 5.966     1    5.966          14.578   1.0  14.0        -        7.0     -       -             0        cn17661-ens4   
binary_ID0000012                    1   condorpool 5.089     1    5.089          13.754   0.0  15.0        -        5.0     -       -             0        cn17661-ens4   
binary_ID0000013                    1   condorpool 7.192     1    7.192          14.45    1.0  15.0        -        7.0     -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 7.015     1    7.015          13.458   1.0  10.0        -        7.0     -       -             0        cn17645-ens4   
binary_ID0000011                    1   condorpool 6.672     1    6.672          13.144   1.0  10.0        -        7.0     -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 6.473     1    6.473          14.629   1.0  10.0        -        6.0     -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 4.69      1    4.69           13.601   0.0  0.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 5.367     1    5.367          14.326   0.0  0.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 5.411     1    5.411          13.149   0.0  5.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 4.443     1    4.443          12.716   0.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 5.515     1    5.515          13.419   0.0  11.0        -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 5.102     1    5.102          13.126   1.0  6.0         -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000028                    1   condorpool 4.688     1    4.688          13.396   0.0  12.0        -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000025                    1   condorpool 4.809     1    4.809          13.68    0.0  12.0        -        5.0     -       -             0        cn17660-enp5s0 
binary_ID0000026                    1   condorpool 6.217     1    6.217          14.58    0.0  16.0        -        6.0     -       -             0        cn17661-ens4   
binary_ID0000023                    1   condorpool 5.194     1    5.194          13.293   0.0  15.0        -        5.0     -       -             0        cn17661-ens4   
binary_ID0000024                    1   condorpool 7.248     1    7.248          14.505   0.0  10.0        -        7.0     -       -             0        cn17645-ens4   
binary_ID0000021                    1   condorpool 7.192     1    7.192          14.389   0.0  10.0        -        7.0     -       -             0        cn17645-ens4   
binary_ID0000022                    1   condorpool 6.836     1    6.836          13.638   0.0  10.0        -        7.0     -       -             0        cn17651-ens4   
binary_ID0000030                    1   condorpool 7.229     1    7.229          13.49    0.0  10.0        -        7.0     -       -             0        cn17651-ens4   
