
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 66c75d62-842b-49d4-88aa-f5a0731afda2 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.2       1    3.2            0.154    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 10.799    1    10.799         16.761   1.0  7.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 16.933    1    16.933         35.408   0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 16.724    1    16.724         32.875   0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 16.805    1    16.805         31.217   0.0  1.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 17.771    1    17.771         33.835   0.0  1.0         -        18.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 15.577    1    15.577         30.667   0.0  18.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 17.193    1    17.193         33.325   0.0  18.0        -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 16.349    1    16.349         31.008   0.0  1.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 16.874    1    16.874         31.891   0.0  1.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 18.513    1    18.513         31.381   0.0  16.0        -        19.0    -       -             0        cn17660-enp5s0 
