
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 72aa2d1e-dfc0-4944-a2d0-b7dd631149f2 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.476     1    3.476          0.158    0.0  15.0        -        4.0     -       -             0        cn17651-ens4   
createfile_ID0000001                1   condorpool 1.799     1    1.799          4.851    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
stage_out_remote_condorpool_0_0     1   condorpool 3.633     1    3.633          0.697    0.0  0.0         -        4.0     -       -             0        cn17651-ens4   
binary_ID0000003                    1   condorpool 2.086     1    2.086          5.212    0.0  4.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000002                    1   condorpool 2.096     1    2.096          5.438    0.0  6.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000007                    1   condorpool 2.169     1    2.169          5.383    0.0  9.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000005                    1   condorpool 2.039     1    2.039          6.83     0.0  7.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000006                    1   condorpool 1.971     1    1.971          6.669    0.0  7.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000004                    1   condorpool 1.973     1    1.973          6.808    0.0  7.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000008                    1   condorpool 2.0       1    2.0            6.93     1.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000014                    1   condorpool 1.941     1    1.941          6.635    1.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000015                    1   condorpool 2.051     1    2.051          7.295    1.0  0.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000012                    1   condorpool 1.977     1    1.977          6.691    1.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000013                    1   condorpool 2.061     1    2.061          7.252    1.0  2.0         -        3.0     -       -             0        cn17645-ens4   
binary_ID0000010                    1   condorpool 2.002     1    2.002          6.949    0.0  0.0         -        3.0     -       -             0        cn17651-ens4   
binary_ID0000011                    1   condorpool 2.072     1    2.072          7.433    0.0  1.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 2.036     1    2.036          7.043    0.0  1.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000018                    1   condorpool 1.928     1    1.928          6.659    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000029                    1   condorpool 1.9       1    1.9            6.747    0.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000019                    1   condorpool 2.057     1    2.057          7.075    0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000016                    1   condorpool 2.408     1    2.408          7.521    0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000027                    1   condorpool 2.012     1    2.012          6.839    0.0  3.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000017                    1   condorpool 2.115     1    2.115          5.391    1.0  1.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000028                    1   condorpool 1.98      1    1.98           6.556    1.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000025                    1   condorpool 1.934     1    1.934          6.629    1.0  0.0         -        2.0     -       -             0        cn17656-enp5s0 
binary_ID0000026                    1   condorpool 2.006     1    2.006          6.861    1.0  0.0         -        2.0     -       -             0        cn17658-enp5s0 
binary_ID0000023                    1   condorpool 2.221     1    2.221          7.159    1.0  2.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000024                    1   condorpool 2.043     1    2.043          7.147    0.0  0.0         -        2.0     -       -             0        cn17651-ens4   
binary_ID0000021                    1   condorpool 1.951     1    1.951          6.787    0.0  0.0         -        2.0     -       -             0        cn17645-ens4   
binary_ID0000022                    1   condorpool 2.502     1    2.502          7.354    0.0  0.0         -        3.0     -       -             0        cn17656-enp5s0 
binary_ID0000030                    1   condorpool 2.074     1    2.074          7.518    0.0  0.0         -        3.0     -       -             0        cn17658-enp5s0 
