
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# b66f7f59-5621-446e-b3b9-06e3bef298c3 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.193     1    3.193          0.153    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 10.671    1    10.671         15.642   1.0  6.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 15.045    1    15.045         29.711   0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 14.149    1    14.149         27.665   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 14.204    1    14.204         27.641   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 15.333    1    15.333         29.907   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 15.164    1    15.164         27.639   0.0  0.0         -        15.0    -       -             0        cn17661-ens4   
binary_ID0000004                    1   condorpool 14.313    1    14.313         25.633   0.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 14.114    1    14.114         29.251   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 14.988    1    14.988         29.474   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 15.387    1    15.387         29.472   1.0  14.0        -        16.0    -       -             0        cn17660-enp5s0 
