
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 45891c7e-2115-4c4d-a7bb-f1c66114576d (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.473     1    3.473          0.18     0.0  20.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 3.774     1    3.774          2.442    0.0  0.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 6.145     1    6.145          3.329    1.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 6.845     1    6.845          3.512    1.0  6.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 4.624     1    4.624          3.132    0.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 4.824     1    4.824          2.64     0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 27.171    1    27.171         3.77     6.0  5.0         -        28.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 6.085     1    6.085          3.517    0.0  7.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 6.994     1    6.994          2.503    1.0  1.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 7.334     1    7.334          3.704    1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 4.516     1    4.516          3.333    1.0  7.0         -        5.0     -       -             0        cn17639-ens4   
