
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 11557782-e64d-4ac2-b172-b2e3d9a9eb3a (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.814     12.927    10.735         322.047   
createfile               1         1         0       5.588     5.588     5.588          5.588     
dagman::post             106       106       0       0.0       1.0       0.245          26.0      
gather                   1         1         0       34.057    34.057    34.057         34.057    
pegasus::dirmanager      1         1         0       3.196     3.196     3.196          3.196     
pegasus::transfer        1         1         0       43.42     43.42     43.42          43.42     
process                  64        64        0       7.871     13.047    10.234         654.959   
reduce                   8         8         0       4.414     5.93      4.881          39.045    


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.814     12.927    10.735         322.047   
createfile               1         1         0       5.588     5.588     5.588          5.588     
dagman::post             106       106       0       0.0       1.0       0.245          26.0      
gather                   1         1         0       34.057    34.057    34.057         34.057    
pegasus::dirmanager      1         1         0       3.196     3.196     3.196          3.196     
pegasus::transfer        1         1         0       43.42     43.42     43.42          43.42     
process                  64        64        0       7.871     13.047    10.234         654.959   
reduce                   8         8         0       4.414     5.93      4.881          39.045    
