
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 14c98d49-5b4c-4cbf-80e5-2ae1387e56e8 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.155    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 4.519     1    4.519          9.514    1.0  7.0         -        4.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 7.486     1    7.486          16.088   0.0  2.0         -        8.0     -       -             0        cn17661-ens4   
binary_ID0000002                    1   condorpool 6.881     1    6.881          17.497   0.0  2.0         -        7.0     -       -             0        cn17661-ens4   
binary_ID0000007                    1   condorpool 9.613     1    9.613          18.899   1.0  3.0         -        9.0     -       -             0        cn17637-ens4   
binary_ID0000005                    1   condorpool 8.526     1    8.526          20.044   1.0  3.0         -        8.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 9.312     1    9.312          18.287   1.0  3.0         -        9.0     -       -             0        cn17637-ens4   
binary_ID0000004                    1   condorpool 9.506     1    9.506          18.93    1.0  3.0         -        9.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 6.937     1    6.937          18.791   1.0  0.0         -        7.0     -       -             0        cn17656-enp5s0 
binary_ID0000014                    1   condorpool 7.369     1    7.369          18.158   1.0  0.0         -        8.0     -       -             0        cn17662-enp5s0 
binary_ID0000015                    1   condorpool 6.408     1    6.408          16.541   0.0  7.0         -        7.0     -       -             0        cn17656-enp5s0 
binary_ID0000012                    1   condorpool 6.407     1    6.407          17.415   0.0  8.0         -        7.0     -       -             0        cn17662-enp5s0 
binary_ID0000013                    1   condorpool 5.938     1    5.938          18.287   0.0  14.0        -        6.0     -       -             0        cn17656-enp5s0 
binary_ID0000010                    1   condorpool 6.292     1    6.292          18.605   0.0  10.0        -        7.0     -       -             0        cn17662-enp5s0 
binary_ID0000011                    1   condorpool 6.077     1    6.077          17.922   0.0  15.0        -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000009                    1   condorpool 7.413     1    7.413          18.124   0.0  15.0        -        7.0     -       -             0        cn17656-enp5s0 
binary_ID0000018                    1   condorpool 7.487     1    7.487          19.038   0.0  0.0         -        8.0     -       -             0        cn17640-enp5s0 
binary_ID0000029                    1   condorpool 7.395     1    7.395          18.341   0.0  0.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 6.23      1    6.23           19.376   1.0  8.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000016                    1   condorpool 6.309     1    6.309          16.348   1.0  8.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 7.262     1    7.262          19.686   0.0  14.0        -        8.0     -       -             0        cn17640-enp5s0 
