
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# ac92d986-5520-423c-99f5-69936a24cd0d (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.204     1    3.204          0.154    0.0  8.0         -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 9.454     1    9.454          13.983   1.0  4.0         -        9.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 14.15     1    14.15          29.39    0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 14.387    1    14.387         29.276   0.0  0.0         -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 14.177    1    14.177         29.592   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 14.292    1    14.292         30.106   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 13.983    1    13.983         29.693   0.0  15.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 13.682    1    13.682         27.492   0.0  14.0        -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 13.625    1    13.625         29.326   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 13.425    1    13.425         28.27    0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 14.695    1    14.695         31.59    0.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 14.254    1    14.254         28.365   0.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 14.171    1    14.171         26.897   1.0  20.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 14.519    1    14.519         28.477   1.0  14.0        -        15.0    -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 16.931    1    16.931         27.009   0.0  14.0        -        17.0    -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 18.054    1    18.054         29.044   0.0  14.0        -        18.0    -       -             0        cn17645-ens4   
binary_ID0000018                    1   condorpool 13.681    1    13.681         28.311   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 13.644    1    13.644         28.681   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 14.489    1    14.489         27.719   1.0  14.0        -        15.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 15.156    1    15.156         27.666   1.0  14.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 15.406    1    15.406         27.527   0.0  20.0        -        16.0    -       -             0        cn17661-ens4   
binary_ID0000017                    1   condorpool 14.68     1    14.68          26.974   0.0  15.0        -        15.0    -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 19.79     1    19.79          29.706   0.0  15.0        -        20.0    -       -             0        cn17645-ens4   
binary_ID0000025                    1   condorpool 21.162    1    21.162         30.596   0.0  16.0        -        21.0    -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 18.777    1    18.777         30.311   0.0  15.0        -        19.0    -       -             0        cn17651-ens4   
binary_ID0000023                    1   condorpool 20.721    1    20.721         30.256   0.0  15.0        -        20.0    -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 21.108    1    21.108         31.502   0.0  10.0        -        21.0    -       -             0        cn17653-ens4   
binary_ID0000021                    1   condorpool 18.707    1    18.707         29.731   0.0  10.0        -        19.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 17.393    1    17.393         29.913   0.0  10.0        -        17.0    -       -             0        cn17636-enp5s0 
binary_ID0000030                    1   condorpool 16.244    1    16.244         29.306   0.0  10.0        -        16.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 18.889    1    18.889         27.106   0.0  10.0        -        19.0    -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 20.314    1    20.314         29.599   0.0  5.0         -        21.0    -       -             0        cn17639-ens4   
process_ID0000036                   1   condorpool 13.963    1    13.963         29.449   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 13.992    1    13.992         30.29    0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 15.415    1    15.415         28.87    0.0  14.0        -        16.0    -       -             0        cn17660-enp5s0 
