
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c098f949-55d3-4c6d-9dc4-9213c44a2c39 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.197     1    3.197          0.15     0.0  15.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 6.523     1    6.523          13.816   0.0  6.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 42.992    1    42.992         791.238  0.0  0.0         -        43.0    -       -             0        cn17645-ens4   
binary_ID0000002                    1   condorpool 42.452    1    42.452         60.389   0.0  0.0         -        43.0    -       -             0        cn17645-ens4   
binary_ID0000007                    1   condorpool 10.125    1    10.125         27.372   1.0  0.0         -        11.0    -       -             0        cn17662-enp5s0 
binary_ID0000005                    1   condorpool 9.511     1    9.511          24.817   1.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 8.163     1    8.163          22.391   0.0  12.0        -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 9.309     1    9.309          25.537   0.0  12.0        -        10.0    -       -             0        cn17662-enp5s0 
binary_ID0000008                    1   condorpool 10.208    1    10.208         27.912   1.0  5.0         -        11.0    -       -             0        cn17662-enp5s0 
binary_ID0000014                    1   condorpool 18.942    1    18.942         81.678   0.0  5.0         -        19.0    -       -             0        cn17653-ens4   
binary_ID0000015                    1   condorpool 18.169    1    18.169         56.775   0.0  5.0         -        19.0    -       -             0        cn17653-ens4   
