
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 10f7dda2-5b27-4bb7-b3ca-1fa694a25c16 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.247     1    3.247          0.171    0.0  16.0        -        3.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 6.78      1    6.78           9.805    0.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 13.067    1    13.067         16.212   0.0  0.0         -        13.0    -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 13.667    1    13.667         17.206   1.0  14.0        -        13.0    -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 13.183    1    13.183         16.301   0.0  0.0         -        13.0    -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 15.22     1    15.22          18.769   0.0  13.0        -        16.0    -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 45.677    1    45.677         89.268   0.0  24.0        -        46.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 9.924     1    9.924          17.566   1.0  24.0        -        10.0    -       -             0        cn17636-enp5s0 
binary_ID0000008                    1   condorpool 71.798    1    71.798         79.186   0.0  0.0         -        72.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 24.484    1    24.484         85.823   0.0  19.0        -        25.0    -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 9.462     1    9.462          17.57    0.0  19.0        -        10.0    -       -             0        cn17636-enp5s0 
