
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d414846b-ab41-4a9c-b95c-2926f4cab633 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.196     1    3.196          0.15     0.0  3.0         -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 7.823     1    7.823          5.392    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.58      1    7.58           5.466    1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 8.54      1    8.54           5.849    0.0  8.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 12.226    1    12.226         6.903    0.0  0.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 13.085    1    13.085         7.521    0.0  13.0        -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 9.976     1    9.976          7.058    1.0  13.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000004                    1   condorpool 13.566    1    13.566         7.774    0.0  13.0        -        13.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 15.748    1    15.748         7.607    0.0  0.0         -        16.0    -       -             0        cn17653-ens4   
binary_ID0000014                    1   condorpool 12.325    1    12.325         7.704    0.0  0.0         -        13.0    -       -             0        cn17653-ens4   
binary_ID0000015                    1   condorpool 12.119    1    12.119         8.315    0.0  0.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 9.498     1    9.498          8.323    0.0  13.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 9.256     1    9.256          7.96     0.0  13.0        -        9.0     -       -             0        cn17653-ens4   
binary_ID0000010                    1   condorpool 9.557     1    9.557          6.865    0.0  11.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000011                    1   condorpool 10.963    1    10.963         9.175    0.0  15.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000009                    1   condorpool 9.918     1    9.918          8.413    0.0  15.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000018                    1   condorpool 11.161    1    11.161         7.631    0.0  0.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000029                    1   condorpool 10.224    1    10.224         7.215    0.0  0.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000019                    1   condorpool 11.554    1    11.554         8.35     0.0  0.0         -        12.0    -       -             0        cn17637-ens4   
binary_ID0000016                    1   condorpool 12.472    1    12.472         7.825    0.0  0.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 11.059    1    11.059         7.521    0.0  0.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 9.006     1    9.006          7.125    0.0  5.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000028                    1   condorpool 8.144     1    8.144          5.364    0.0  6.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000025                    1   condorpool 10.853    1    10.853         7.484    0.0  7.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000026                    1   condorpool 9.294     1    9.294          8.184    0.0  7.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000023                    1   condorpool 9.94      1    9.94           7.554    0.0  8.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000024                    1   condorpool 11.589    1    11.589         7.289    0.0  10.0        -        12.0    -       -             0        cn17653-ens4   
binary_ID0000021                    1   condorpool 9.953     1    9.953          7.259    0.0  9.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 10.496    1    10.496         7.688    0.0  9.0         -        11.0    -       -             0        cn17637-ens4   
binary_ID0000030                    1   condorpool 10.221    1    10.221         8.468    0.0  9.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000020                    1   condorpool 10.366    1    10.366         7.573    0.0  9.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000031                    1   condorpool 10.082    1    10.082         7.421    0.0  4.0         -        10.0    -       -             0        cn17655-ens4   
binary_ID0000038                    1   condorpool 10.469    1    10.469         8.218    0.0  0.0         -        11.0    -       -             0        cn17655-ens4   
binary_ID0000039                    1   condorpool 35.834    1    35.834         8.397    1.0  0.0         -        36.0    -       -             0        cn17637-ens4   
binary_ID0000036                    1   condorpool 35.249    1    35.249         8.867    0.0  1.0         -        35.0    -       -             0        cn17635-ens4   
binary_ID0000058                    1   condorpool 13.365    1    13.365         7.575    0.0  1.0         -        13.0    -       -             0        cn17653-ens4   
binary_ID0000037                    1   condorpool 11.787    1    11.787         7.975    0.0  1.0         -        12.0    -       -             0        cn17653-ens4   
binary_ID0000059                    1   condorpool 10.997    1    10.997         8.566    1.0  0.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000034                    1   condorpool 9.302     1    9.302          7.978    1.0  5.0         -        10.0    -       -             0        cn17655-ens4   
binary_ID0000056                    1   condorpool 11.515    1    11.515         7.618    0.0  7.0         -        12.0    -       -             0        cn17653-ens4   
binary_ID0000035                    1   condorpool 8.877     1    8.877          7.387    0.0  8.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000057                    1   condorpool 10.849    1    10.849         8.624    0.0  11.0        -        11.0    -       -             0        cn17635-ens4   
binary_ID0000032                    1   condorpool 14.5      1    14.5           7.688    0.0  9.0         -        15.0    -       -             0        cn17644-enp5s0 
